filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_faster	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
543500140_old.mp4	-15.989628614	-9.72250298408	-47.9154282445	-37.8530919551	-36.8281901639	-45.6638430261	-36.7411375233	-37.0480279445	-37.9634367798	-34.2980602112	-26.834053974	-36.0548530417	-18.4604554271
590546720_old.mp4	-28.0088013664	-20.3759016303	-63.3270153435	-56.0555554211	-55.3976023796	-63.2955800088	-56.3714685427	-62.9403163445	-61.1099971454	-57.6359942127	-26.0430722468	-45.6059878365	-41.7346586878
545583764_old.mp4	-14.3244784709	-5.0895526355	-54.7829001769	-48.4944080632	-47.6411929748	-54.6536001986	-48.2702685758	-51.624593658	-50.0719364053	-45.4607101703	-15.8454999464	-44.5434363072	-40.7728007452
582044238_old.mp4	-15.3244669825	-7.16461739818	-51.1931903008	-42.7276968326	-40.7564940669	-51.3774456494	-40.9600121622	-47.0778260908	-45.3708389451	-42.4185596552	-18.9847643704	-38.2127036075	-31.709116509
469051965_old.mp4	-17.8222756318	-7.05739439468	-46.3639558605	-39.6158140454	-37.8818132085	-46.4553108532	-37.3330150549	-42.1124771534	-40.3201602718	-36.3991117727	-18.2810164251	-31.7427480213	-23.1988432032
VID_20160708_095324.mp4	-6.58915816219	6.60392963653	-40.723121996	-33.6896655359	-32.7990747385	-39.1041670888	-30.7528248206	-26.5195018464	-24.9943992127	-21.7831104126	-19.80400085	-31.9722459455	-15.81046352
589885915_old.mp4	-7.56573999108	5.01689576159	-52.3349462214	-47.45078395	-46.5398429766	-52.5684649864	-47.0507953136	-45.9618335957	-43.8281254827	-41.2978740565	-15.3387154685	-40.1929552683	-36.7353723286
535539246_old.mp4	-15.3597543626	-0.286390667638	-53.9663546693	-45.2987171904	-44.5081348879	-54.1391138417	-44.5984170182	-52.1650726729	-49.5140480506	-45.1795097357	-19.5661679554	-43.5549342209	-33.2525537763
495335220_old.mp4	-3.04039354661	0.464154435182	-45.3854822215	-41.0874758585	-40.142814111	-44.1786295647	-38.7635435011	-40.9439192176	-40.4104513603	-37.5646018466	-18.6023097461	-38.3880164888	-32.3298766806
588542893_old.mp4	-9.63729097227	-3.63711199881	-44.7962597111	-37.7079717481	-36.5316556873	-41.3561393003	-33.2878673744	-30.935112521	-31.5076192448	-27.6289141218	-19.5486517649	-33.809774731	-18.8922017139
344216044_old.mp4	-23.9259235154	-14.4487986978	-55.3971805764	-49.1745885939	-48.4399499084	-55.2826857525	-48.5311437035	-49.88501996	-47.5329813141	-44.195585983	-16.1977695421	-34.1801051505	-31.5674952335
573903512_old.mp4	-18.3737539861	-12.1550691035	-44.0430593181	-37.8715179384	-36.8128653186	-42.8932601884	-34.3649848724	-42.2974812389	-40.9398594644	-35.9598648983	-21.6020311392	-35.2300826293	-24.8299208885
628516967_old.mp4	-14.5839216055	-3.448901773	-50.0064497151	-42.5478795988	-41.1239457105	-50.1141593477	-41.7338339132	-44.3499972252	-42.7664056412	-39.3583690786	-17.7753143978	-38.3924668	-32.6772127578
570220808_old.mp4	-9.27446016568	2.13490163347	-43.3687727432	-34.6883295148	-33.2609694591	-42.721069442	-31.8357688462	-36.4120554813	-34.2707737043	-28.3078318685	-16.96706536	-30.4891884666	-20.2228851389
552841398_old.mp4	-27.4885499282	-14.1654535406	-66.6706458893	-60.4342765791	-59.7129522424	-66.6260859277	-59.8986205923	-60.0717814511	-57.7527498116	-54.6380697974	-24.1112908096	-54.2081189703	-50.4075094429
425420496_old.mp4	-13.0127784392	-3.1182781445	-47.4295602793	-40.2623712832	-38.7502041258	-47.8227245121	-39.0973756051	-41.5613469442	-41.1063110254	-35.1810091262	-19.2417077484	-32.644515624	-22.0877190097
555252407_old.mp4	-43.3596690719	-41.7183007297	-50.4856564864	-44.4312914181	-44.0200309495	-49.7911287758	-43.6069964792	-46.6066529472	-43.2296276809	-37.2329368982	-23.8979260836	-16.3822610272	-14.2317135055
418496749_old.mp4	-10.5901664295	3.90968666125	-46.7494629824	-40.9124244476	-39.6020499695	-46.0507027706	-38.6121704994	-42.4666360959	-40.9616167211	-37.1865310405	-19.091153963	-36.0328144916	-30.4429313918
543499635_old.mp4	-11.0557954739	-3.67025261899	-47.2918052922	-41.0444654931	-40.0348692548	-44.4989775576	-37.5286876098	-38.5489927378	-38.18500879	-35.4673973287	-22.2882367752	-36.4889457969	-31.5500542083
469053867_old.mp4	-15.6750674124	3.39378554799	-50.1179035554	-43.064123804	-41.5935936324	-50.2245285673	-41.6023292514	-47.4885922145	-45.7891549907	-42.9349360372	-19.3139635558	-40.3224803737	-33.8577351474
VID_20160715_194255.mp4	-4.56579071316	1.54216926394	-48.4262231924	-44.8710431073	-43.8114046857	-47.5176919118	-42.7057489603	-45.7934779627	-44.4689727909	-42.5515900801	-15.8511741043	-38.7186772432	-36.1766278365
547133225_old.mp4	-12.2703719695	-4.28308930589	-49.7708955962	-39.3701763348	-36.3707231383	-49.5537936651	-32.2183348574	-46.2963015594	-45.0395343141	-41.8404645078	-19.6792221352	-36.8885084226	-30.9057145297
505770157_old.mp4	-12.7970645486	-1.88022802735	-48.0773532792	-39.5979954984	-38.3377713363	-48.7364433054	-39.873590377	-42.2199168381	-40.9218416497	-37.1683317117	-18.8525956243	-34.853474934	-28.5051875016
529661103_old.mp4	-24.3493199125	-5.71528759677	-60.1322609049	-53.6321781103	-53.0168676016	-61.31915876	-53.6530664331	-58.9184297383	-57.6768551331	-53.0790832184	-29.9384548255	-57.00896243	-51.6695089565
564336933_old.mp4	-17.7010066966	-8.63607128614	-37.2948044818	-29.0196224444	-28.1597037636	-36.1654656796	-26.8156407816	-31.760457335	-31.1136734124	-26.3644026143	-19.472339	-27.1845857162	-14.397967183
563587085_old.mp4	-34.2813244931	-27.542630019	-65.4636472277	-60.9326964107	-60.3770808523	-65.0550197281	-60.0099143127	-62.6764438224	-61.3295859072	-58.7314776016	-18.3056481257	-43.2640110916	-37.6156829779
359124590_old.mp4	-12.3158298761	-0.655412689718	-55.5740811985	-49.4405954409	-48.1378326537	-54.8490120571	-48.2320847438	-50.1495026951	-47.9422661033	-45.3328191924	-11.8611032587	-36.4348309336	-33.239797746
VID_20160722_142835.mp4	-21.180692392	-7.66365846365	-56.8575075374	-48.8813422535	-48.4158614763	-57.3521377204	-49.3767666892	-52.9086917948	-51.0211141729	-46.2634492373	-28.3131088801	-46.9262797632	-39.4376226726
403508241_old.mp4	-25.228421422	-16.653794248	-58.7301032561	-52.3302412407	-51.2347928967	-58.6045209867	-51.0941693952	-52.2727392373	-50.2321151681	-47.3506763654	-13.6490689685	-35.8253722817	-29.7175422526
380455893_old.mp4	-20.2918840988	-10.5395593187	-55.9981128203	-50.5735531808	-50.0777331977	-54.3966552061	-47.7626628852	-53.1215453805	-52.7713909718	-47.92476996	-22.7197446772	-47.230690183	-33.5655894219
553482986_old.mp4	-11.2882637623	0.468308862911	-51.7761860982	-46.0989485983	-45.0425615583	-51.7576858108	-44.8555323544	-47.2333521718	-45.7779868886	-42.9171340035	-18.8259859484	-41.8286781135	-36.7010500441
407244002_old.mp4	-18.6801506595	-3.51694762637	-66.356777621	-60.0402501593	-59.6832886596	-69.1357533226	-63.3388794883	-64.048520616	-60.6757858324	-52.4977394799	-25.9439692691	-44.5098365161	-51.9565936765
601955001_old.mp4	-15.0672288881	-3.3735209278	-43.0125210396	-35.7335223795	-34.3972093261	-43.3148321514	-34.9974819349	-41.3229992996	-39.4617663726	-34.2689152044	-21.429252304	-32.7799605879	-25.6219770551
