filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_faster	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
503723478_old.mp4	-4.0318054343	8.21238029201	-38.4413541166	-33.0692446007	-32.1309001931	-38.3916589275	-32.3730324548	-36.208420484	-34.3453656081	-31.3543504593	-16.1190688947	-35.0982606507	-29.8537054314
519939047_old.mp4	-9.15145583177	6.29746854755	-35.6621240554	-28.075997693	-27.3721358647	-32.3668841472	-24.24853946	-21.2860966077	-22.250163116	-11.3715391478	-24.3423807736	-40.2607763028	-20.0274475169
573761141_old.mp4	-5.16157301679	19.1804297555	-39.284370355	-30.8834066468	-30.3862538129	-39.5752115715	-30.1853905252	-36.496834515	-32.4927547232	-28.4635401727	-12.6668232404	-30.1520521738	-24.7508156276
528665861_old.mp4	0.20616344116	14.6666500619	-32.1037599727	-26.1037984695	-24.9737495586	-31.9900519223	-25.2614002602	-30.7381534849	-29.0953252822	-25.7226954449	-15.6885641369	-31.5338738691	-27.6368172555
381987280_old.mp4	5.20754495345	20.8825690072	-40.7534444654	-34.4693073565	-33.5603492151	-40.7781393254	-33.7350379393	-33.6313683005	-30.5734232227	-26.2176162817	-17.1109435511	-39.3040475438	-31.1953512192
590867884_old.mp4	-16.5236064545	-10.3178973303	-45.4727044046	-40.0132892772	-39.4949832616	-45.1179266614	-39.1866639119	-41.1052580777	-39.1373834103	-35.7758442264	-23.0467732385	-45.1725320498	-29.9806988059
567053602_old.mp4	-12.9478480763	-4.69715015473	-50.2417175741	-42.6402428175	-41.4429735956	-50.5654574878	-42.2421326504	-44.6449554897	-42.3940168957	-38.8240746166	-12.382604565	-31.6826667153	-22.7645005614
406998524_old.mp4	-35.3354971208	-19.6896518676	-72.9368972067	-69.9739219715	-69.4752827841	-75.9299069279	-72.8879336291	-74.1092529047	-71.1418345262	-65.2365039815	-32.8758803001	-66.1100169569	-70.3339142414
529732273_old.mp4	2.66286189944	11.5202230782	-11.5146161544	-1.09698989457	1.23149140465	-11.9364075673	-0.299283457734	-25.8608753348	-19.0596991031	-12.1468477073	-17.2457445502	-16.0159810066	-12.6605354019
391164745_old.mp4	-11.986000006	9.1720481281	-57.1958821399	-53.0936141461	-52.1259146741	-58.1132511432	-53.2801537225	-48.8539067729	-46.4317279397	-43.6602779286	-16.8061686431	-49.5292398512	-45.9772894696
VID_20160805_163305.mp4	-5.99557071719	6.22131832254	-36.7449096957	-32.5784235415	-31.6298796096	-36.7985432168	-30.9433020284	-38.2081921879	-37.1529943874	-33.0006502021	-10.6436926993	-43.7518743693	-39.2586786831
408243469_old.mp4	-22.8187505296	-2.39078255446	-73.61541589	-70.4488774157	-70.1713693663	-75.126915872	-72.5000326232	-72.6993335662	-69.6990113558	-65.3788515394	-20.677228617	-63.6758832163	-66.8534326126
607606389_old.mp4	-12.9598989091	-7.71516547617	-61.8355464426	-56.8390356389	-56.4486230951	-61.4202261685	-54.8607888347	-57.7487445625	-51.0654748357	-45.9536318244	-25.1692289866	-49.8265520835	-44.6025723366
573911023_old.mp4	-10.8908287369	-0.959848125102	-39.0135049859	-34.1860131499	-33.0178109732	-35.7770338431	-29.3761640769	-44.1876111947	-42.7673286888	-36.386015966	-21.9000217566	-41.1166312639	-35.0099646073
482301332_old.mp4	-10.7554704631	-1.07644817572	-44.6629825571	-36.6775732538	-35.1724408073	-45.2536423181	-35.7503077223	-42.3278043357	-40.3951936581	-36.175476446	-15.6389119596	-35.8346810337	-29.7414304136
468687740_old.mp4	-8.56732140063	8.15179385155	-55.9708231742	-51.6296863195	-51.0338703394	-56.3918250153	-51.8503680077	-46.5144046942	-44.4579481746	-39.9962905964	-12.7686901326	-43.1066452205	-38.8551191719
636598755_old.mp4	-12.8479814867	1.32479320947	-50.8970629362	-42.140772015	-41.5672564563	-50.9150102436	-41.7003716064	-45.4654056771	-42.9354081243	-40.7000628256	-18.0451400631	-42.2017673697	-37.009143676
636368326_old.mp4	-8.43687472359	22.6514813732	-37.638892028	-30.3359405119	-29.5223727596	-38.1329676416	-30.2716654191	-33.4864995737	-31.7762849965	-28.5384334083	-16.6981485022	-33.9078448484	-22.6619679399
362439656_old.mp4	-5.85259612193	23.8554879601	-38.275383438	-32.5783648282	-31.736955576	-38.5704335277	-31.6822577837	-33.1245219042	-30.735955807	-27.0720542388	-13.0448099444	-40.8387737286	-34.1143503185
418479767_old.mp4	-13.1668023047	6.63341077443	-53.232071719	-43.9206399386	-43.1855854855	-54.1622294053	-44.5694789184	-48.3458664052	-45.8743156459	-41.7373144147	-16.489373126	-39.8857321154	-33.2147946838
495808893_old.mp4	0.486910418523	8.12047718864	-40.4373986976	-34.2896767665	-32.8981229005	-39.9701939585	-32.7931812586	-34.6995930878	-32.3874194735	-29.5023616505	-12.3491849555	-30.5875379031	-23.2683489832
397931490_old.mp4	2.52655189051	27.4344323143	-36.8351469096	-33.0056595046	-32.4524477959	-35.8539025917	-31.4227283584	-33.8744805922	-32.2694867582	-30.9543111107	-15.2998610234	-39.5638348734	-33.7197578208
381461751_old.mp4	-5.92236021384	3.62767679076	-56.665345193	-51.6640379834	-51.0284507893	-59.0271851798	-52.3086556857	-50.8927683973	-47.3975311409	-42.0736379669	-12.3105956333	-35.3944673395	-36.7785759258
399494504_old.mp4	-18.2021815179	4.52467516846	-47.3355454255	-37.9706143871	-37.3727276871	-47.3461649861	-36.4754651128	-43.4627488904	-41.4714718963	-37.0040466151	-11.0829237266	-35.1869228474	-24.4869868804
543249132_old.mp4	-6.10025352622	4.07958528932	-43.557385053	-38.7766111185	-37.8678506793	-41.5893800393	-36.557822279	-44.5027894048	-44.2595195553	-38.9325219569	-24.339771693	-44.5061326403	-37.0662480831
577003755_old.mp4	-15.737873489	-6.32582687145	-36.3520139564	-31.6002853067	-30.569258199	-33.3981368441	-27.7075173512	-31.7921784732	-31.1246045692	-27.8962944881	-14.5231439398	-37.2194733488	-24.9540100767
372101871_old.mp4	-4.12996348031	7.09028751891	-41.3438738814	-31.5988131358	-30.0498768378	-40.3688394282	-29.3929507176	-37.2271718802	-34.8649501394	-31.5122932611	-15.7510233317	-30.6072163605	-23.7816605335
415699866_old.mp4	-16.8170260996	-10.1531930859	-37.3351935401	-32.9338459651	-31.7480340691	-35.7380980581	-29.4156946985	-37.1088326499	-35.2927233686	-26.0808742308	-16.9043691206	-40.8075333435	-29.3915414559
481579944_old.mp4	13.4670399953	16.4625894936	-43.8086311819	-31.2214490953	-29.9766512943	-43.0374295049	-32.4197272715	-40.9297415602	-39.2856539708	-35.4751028621	-13.2438119934	-35.2514320767	-20.2769793511
VID_20160801_185005.mp4	-6.93535977255	10.0549754685	-42.6017436502	-36.1815484153	-35.5478873258	-42.3385928497	-35.2536239638	-38.000267578	-37.1672730401	-33.3149529059	-14.3319530951	-43.374833117	-36.5225503549
637506191_old.mp4	-8.77064432465	6.85783944185	-40.6957840324	-33.9561951142	-32.6151522297	-39.1798357698	-30.4148509078	-27.9675003295	-25.8079894833	-20.1191517798	-14.3863339591	-35.9935915518	-21.3206756459
372119114_old.mp4	-3.98240687356	10.7719069912	-41.5889574659	-37.1171675423	-36.3758288684	-41.4525977275	-36.9683090107	-37.7188508629	-36.9524919437	-33.0019305507	-16.6056000502	-38.2660680925	-35.2767560793
612148598_old.mp4	-12.9284634729	6.74468624264	-47.0310803649	-38.7256737225	-37.4596040126	-47.2230096418	-38.670424787	-43.7199360714	-41.0993711873	-37.3592631335	-15.9369195673	-41.0456187435	-35.9564654152
